date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:18:17	100/100	---M-Z	200	added ('OK')	text/plain	etag:%223a9218e42843cbd234606feb6a357c2b%22	https://mahdirashidi.framer.website/robots.txt		(from )
17:18:18	444475/444475	---M-Z	200	added ('OK')	text/html	etag:%22191af9debe2c85bf3d515effd4338510%22	https://mahdirashidi.framer.website/	C:/My%20Web%20Sites/portfolio/mahdirashidi.framer.website/index.html	(from )
17:18:19	7011/7011	---MC-	200	added ('OK')	image/png	etag:%22c27f8a7cb24bda1cbf272e5a7681ac7f%22	https://framerusercontent.com/images/eVTjd4i7OQQ9C0ht13t6fN1Euo.png	C:/My%20Web%20Sites/portfolio/framerusercontent.com/images/eVTjd4i7OQQ9C0ht13t6fN1Euo.png	(from https://mahdirashidi.framer.website/)
17:18:20	71119/71119	---MC-	200	added ('OK')	image/png	etag:%22fe4bc9bd0d8837b390b583b4b1647bc1%22	https://framerusercontent.com/images/Drwr8lzIb44BzOEn0nNlsSJ4AWk.png	C:/My%20Web%20Sites/portfolio/framerusercontent.com/images/Drwr8lzIb44BzOEn0nNlsSJ4AWk.png	(from https://mahdirashidi.framer.website/)
17:18:21	283310/283310	---M-Z	200	added ('OK')	text/html	etag:%22f2ca7f728931b97a8ccb94d9855333d8%22	https://mahdirashidi.framer.website/projects	C:/My%20Web%20Sites/portfolio/mahdirashidi.framer.website/projects.html	(from https://mahdirashidi.framer.website/)
17:18:22	264414/264414	---M-Z	200	added ('OK')	text/html	etag:%22ce33a78a367b2ac0c74feed1596fa582%22	https://mahdirashidi.framer.website/experience	C:/My%20Web%20Sites/portfolio/mahdirashidi.framer.website/experience.html	(from https://mahdirashidi.framer.website/)
17:18:23	263103/263103	---M-Z	200	added ('OK')	text/html	etag:%22ca9b2fc8482640d28caeab795d987e07%22	https://mahdirashidi.framer.website/tools	C:/My%20Web%20Sites/portfolio/mahdirashidi.framer.website/tools.html	(from https://mahdirashidi.framer.website/)
17:18:23	284764/284764	---M-Z	200	added ('OK')	text/html	etag:%2246854273b7103a1ef0549d33d74f337c%22	https://mahdirashidi.framer.website/blog	C:/My%20Web%20Sites/portfolio/mahdirashidi.framer.website/blog.html	(from https://mahdirashidi.framer.website/)
17:18:24	84620/84620	---MC-	200	added ('OK')	image/jpeg	etag:%221714e9f8bfa192e41138b732d7ee4a66%22	https://framerusercontent.com/images/blYiIOoQ3GYZSPOqxCBeEgShhao.jpg	C:/My%20Web%20Sites/portfolio/framerusercontent.com/images/blYiIOoQ3GYZSPOqxCBeEgShhao.jpg	(from https://mahdirashidi.framer.website/)
17:18:27	2252/2252	---MC-	200	added ('OK')	image/png	etag:%22dd815782cc70040758737ed17e5e84c6%22	https://framerusercontent.com/images/ay9QMj9AVG8gxBjilndTmDdmeQ.png	C:/My%20Web%20Sites/portfolio/framerusercontent.com/images/ay9QMj9AVG8gxBjilndTmDdmeQ.png	(from https://mahdirashidi.framer.website/)
17:18:28	3755/3755	---MC-	200	added ('OK')	image/png	etag:%22ee77fb2474baf983ae342b13cee0d757%22	https://framerusercontent.com/images/SvTAZZonMqViqF7fP6GK7CWmL84.png	C:/My%20Web%20Sites/portfolio/framerusercontent.com/images/SvTAZZonMqViqF7fP6GK7CWmL84.png	(from https://mahdirashidi.framer.website/)
17:18:29	52144/52144	---MC-	200	added ('OK')	image/jpeg	etag:%22b1ec56d17337d9cf0cec310818a95975%22	https://framerusercontent.com/images/HZVty7h6pOWqz9MgOrGioC5dEM.jpg	C:/My%20Web%20Sites/portfolio/framerusercontent.com/images/HZVty7h6pOWqz9MgOrGioC5dEM.jpg	(from https://mahdirashidi.framer.website/)
17:18:29	373721/373721	---MC-	200	added ('OK')	image/jpeg	etag:%227f4f1554cfb8abae23d9d69851d3173d%22	https://framerusercontent.com/images/4mYEXU91rLBNKIW9k6hZh16l7Q.jpeg	C:/My%20Web%20Sites/portfolio/framerusercontent.com/images/4mYEXU91rLBNKIW9k6hZh16l7Q.jpg	(from https://mahdirashidi.framer.website/)
